Name,Highly_Influential_Citations,Highly_Influential_Citations_Updated,Semantic Scholar URL,hindexscopus2019,Papers_by_author_scopus_2019,Total_citations_scopus_2019,Hindex_2014_google_scholar,Hindex_google_scholar_overall,Scopus_URL,Google_scholar_URL,Affiliation,City,Citations All (Google Scholar),Citations (Since 2014),Expertise
Mayur Datar,1069,1069,https://www.semanticscholar.org/author/Mayur-Datar/1703747,19,23,6001,,,https://www.scopus.com/authid/detail.uri?authorId=7003516539,,Flipkart,Bengaluru,,,"Data mining, Algorithms, Databases, Computer science theory"
Rajeev Rastogi,1058,1056,https://www.semanticscholar.org/author/Rajeev-Rastogi/1696519,42,149,8602,33,67,https://www.scopus.com/authid/detail.uri?authorId=7202417523,https://scholar.google.com/citations?user=3ggE9SkAAAAJ,Amazon,Bengaluru,23373,6036,"Machine Learning, Distributed Systems, Algorithms"
Prateek Jain,881,860,https://www.semanticscholar.org/author/Prateek-Jain/3164102,24,77,3324,34,40,https://www.scopus.com/authid/detail.uri?authorId=35344727500,https://scholar.google.com/citations?user=qYhRbJoAAAAJ&hl=en,"Microsoft Research, Bangalore",Bengaluru,7722,6020,Machine Learning
Soumen Chakrabarti,849,836,https://www.semanticscholar.org/author/Soumen-Chakrabarti/2197703,65,454,19340,30,52,https://www.scopus.com/authid/detail.uri?authorId=35227027300,https://scholar.google.com/citations?user=LfF2zfQAAAAJ&hl=en,IIT Bombay,Mumbai,17960,4226,Web search Web mining Social Networks Machine Learning
Manik Varma,790,766,https://www.semanticscholar.org/author/Manik-Varma/32463160,22,29,4041,22,23,https://www.scopus.com/authid/detail.uri?authorId=24823171100,https://scholar.google.co.in/citations?user=slkxxyIAAAAJ&hl=en,"Microsoft Research India, IIT Delhi.",New Delhi,6685,3666,Machine Learning Computer Vision Computational advertising
Narasimha Murty,661,658,https://www.semanticscholar.org/author/M.-Narasimha-Murty/1750539,1,2,15,16,27,https://www.scopus.com/authid/detail.uri?authorId=6602186112,https://scholar.google.com/citations?user=VQZTmpcAAAAJ&hl=en,IISc Bangalore,Bengaluru,19374,6780,Pattern Recognition Data Mining Machine Learning information retrieval topic models
Swagatam Das,658,657,https://www.semanticscholar.org/author/Swagatam-Das/1747655,47,379,11153,48,60,https://www.scopus.com/authid/detail.uri?authorId=24729258600,https://scholar.google.com/citations?hl=en&user=L8XYpAwAAAAJ&view_op=list_works&sortby=pubdate,Indian Statistical Institute,Kolkata,16027,11236,Artificial intelligence Evolutionary Algorithm Differential Evolution Swarm Intelligence Machine Learning
Nikhil R. Pal,608,678,https://www.semanticscholar.org/author/Nikhil-R.-Pal/1708545,45,218,11218,36,55,https://www.scopus.com/authid/detail.uri?authorId=35561327100,https://scholar.google.com/citations?user=IGIvYfAAAAAJ&hl=en,Indian Statistical Institute,Kolkata,20894,7763,"Pattern Recognition, Machine learning, Fuzzy Logic, Neural networks, Image Processing"
Sunita Sarawagi,595,586,https://www.semanticscholar.org/author/Sunita-Sarawagi/1770124,25,58,3439,26,44,https://www.scopus.com/authid/detail.uri?authorId=55968663300,https://scholar.google.com/citations?user=Hg4HmTAAAAAJ&hl=en,IIT Bombay,Mumbai,11463,3322,"databases, data mining, machine learning and statistics"
Sankar Kumar Pal,587,574,https://www.semanticscholar.org/author/Sankar-K.-Pal/1736103,49,320,11708,43,78,https://www.scopus.com/authid/detail.uri?authorId=7402277726,https://scholar.google.co.in/citations?user=V-pTYdUAAAAJ,Indian Statistical Institute,Kolkata,32047,9269,Soft Computing Image Processing Data Mining Pattern Recognition Machine Intelligence
Sanghamitra Bandyopadhyay,584,566,https://www.semanticscholar.org/author/Sanghamitra-Bandyopadhyay/1684232,40,207,7849,38,51,https://www.scopus.com/authid/detail.uri?authorId=7402057893,https://scholar.google.com/citations?hl=en&user=mHrEBuUAAAAJ&view_op=list_works&sortby=pubdate,Indian Statistical Institute,Kolkata,14170,7085,Computational BiologyEvolutionary ComputationPattern Recognition Data Mining
Raghu Krishnapuram,550,572,https://www.semanticscholar.org/author/Raghu-Krishnapuram/1769461,34,111,6503,21,47,https://www.scopus.com/authid/detail.uri?authorId=35562479300,https://scholar.google.co.in/citations?user=OftxRCEAAAAJ&hl=en,IISc,Bengaluru,12232,2598,Artificial intelligence Autonomous Robots
Mausam,516,510,https://www.semanticscholar.org/author/Mausam/2674444,19,58,2075,29,33,https://www.scopus.com/authid/detail.uri?authorId=55963402300,https://scholar.google.com/citations?user=5y4YmFcAAAAJ&hl=en,IIT Delhi,New Delhi,5805,4306,Artificial intelligence Planning under Uncertainty Information Extraction Human Computation
Anirban Dasgupta,482,415,https://www.semanticscholar.org/author/Anirban-Dasgupta/1709101,16,81,952,8,8,https://www.scopus.com/authid/detail.uri?authorId=35584686500,https://scholar.google.com/citations?user=jDcw2nMAAAAJ&hl=en,IIT Kharagpur,Gandhinagar,154,145,Signal and Image Processing Machine Learning Computer Vision Embedded Systems
Yegnanarayana Bayya,434,424,https://www.semanticscholar.org/author/Bayya-Yegnanarayana/1741065,1,3,27,32,53,https://www.scopus.com/authid/detail.uri?authorId=55735340200,https://scholar.google.com/citations?user=e9YThaYAAAAJ&hl=en,IIIT Hyderabad,Hyderabad,11859,4918,Speech image Signal processing artificial neural networks
C. V. Jawahar,372,362,https://www.semanticscholar.org/author/C.-V.-Jawahar/1694502,27,282,2927,30,39,https://www.scopus.com/authid/detail.uri?authorId=6701503911,https://scholar.google.com/citations?user=U9dH-DoAAAAJ&hl=en,IIIT Hyderabad,Hyderabad,6261,4135,Computer Vision
Chiranjib Bhattacharyya,355,351,https://www.semanticscholar.org/author/Chiranjib-Bhattacharyya/4084728,18,92,2930,19,24,https://www.scopus.com/authid/detail.uri?authorId=6701703652,https://scholar.google.co.in/citations?user=SbYoEmQAAAAJ&hl=en,IISc Bangalore,Bengaluru,5368,2210,Machine Learning
Umapada Pal,341,340,https://www.semanticscholar.org/author/Umapada-Pal/1740569,31,300,3980,32,45,https://www.scopus.com/authid/detail.uri?authorId=57200742116,https://scholar.google.com/citations?user=2_z_CogAAAAJ&hl=en,Indian Statistical Institute,Kolkata,8440,4699,OCR Document Analysis
Bidyut Baran Chaudhuri,331,328,https://www.semanticscholar.org/author/Bidyut-Baran-Chaudhuri/1759420,36,269,5997,33,52,https://www.scopus.com/authid/detail.uri?authorId=7101623219,https://scholar.google.com/citations?user=LYNgDQ8AAAAJ&hl=en,Indian Statistical Institute,Kolkata,12025,4439,Computer Vision Pattern Recognition Digital Document Processing OCR Natural Language Processing
Amit Konar,283,280,https://www.semanticscholar.org/author/Amit-Konar/1740557,29,408,4624,31,40,https://www.scopus.com/authid/detail.uri?authorId=7004422312,https://scholar.google.com/citations?user=s1F23CAAAAAJ&hl=en,Jadavpur University,Kolkata,9119,5288,Artificial intelligence Computational Intelligence Pattern Recognition Image Processing Robotics
Richa Singh,272,347,https://www.semanticscholar.org/author/Richa-Singh/39129417,27,188,2928,33,39,https://www.scopus.com/authid/detail.uri?authorId=15061841400,https://scholar.google.com/citations?user=okqK5UAAAAAJ&hl=en,IIIT Delhi,New Delhi,5542,3790,Biometrics Pattern Recognition Machine Learning Face Recognition Deep Learning
Mayank Vatsa,261,338,https://www.semanticscholar.org/author/Mayank-Vatsa/2338122,27,193,2939,33,39,https://www.scopus.com/authid/detail.uri?authorId=55908650100,https://scholar.google.com/citations?user=-DAxp-cAAAAJ&hl=en,IIIT Delhi,New Delhi,5541,3792,Biometrics Image Processing Deep Learning Machine Learning Computer Vision
Shirish Shevade,253,249,https://www.semanticscholar.org/author/Shirish-K.-Shevade/1772326,13,52,2427,13,16,https://www.scopus.com/authid/detail.uri?authorId=6602108054,https://scholar.google.com/citations?user=HOIpJSwAAAAJ&hl=en,IISc Bangalore,Bengaluru,4615,1672,Machine Learning
Vivek Borkar,247,247,https://www.semanticscholar.org/author/Vivek-S.-Borkar/2136886,26,103,3316,26,45,https://www.scopus.com/authid/detail.uri?authorId=7006446498,https://scholar.google.com/citations?user=Km1V8WwAAAAJ&hl=en,IIT Bombay,Mumbai,10280,3399,Stochastic Control Markov Decision Processes Stochastic Approximation
Jatin Chhugani,239,278,https://www.semanticscholar.org/author/Jatin-Chhugani/1727275,20,33,2090,24,29,https://www.scopus.com/authid/detail.uri?authorId=6506913869,https://scholar.google.com/citations?user=Zjshth4AAAAJ&hl=en,Flipkart,Palo Alto,4647,2688,Deep Learning Performant SystemsEdge ComputingHPCComputer Vision /Graphics.
P J Narayanan,236,238,https://www.semanticscholar.org/author/P.-J.-Narayanan/1729020,16,94,1910,17,27,https://www.scopus.com/authid/detail.uri?authorId=7103082028,https://scholar.google.com/citations?user=3HKjt_IAAAAJ&hl=en,IIIT Hyderabad,Hyderabad,4984,1769,Computer Vision Computer Graphics Parallel Computing
Vikas Raykar,225,228,https://www.semanticscholar.org/author/Vikas-C.-Raykar/2401938,20,48,1961,17,24,https://www.scopus.com/authid/detail.uri?authorId=6507329876,https://scholar.google.co.in/citations?user=R-Cgh08AAAAJ&hl=en,IBM,Bengaluru,3552,2220,Machine Learning Data Mining CrowdsourcingMedical Imaging
Arjun Jain,221,223,https://www.semanticscholar.org/author/Arjun-Jain/49147969,10,17,879,14,15,https://www.scopus.com/authid/detail.uri?authorId=25421613000,https://scholar.google.co.in/citations?user=elmWdycAAAAJ&hl=en,IIT Bombay,Mumbai,2308,2175,Machine Learning Computer Vision Computer Graphics
Pabitra Mitra,205,200,https://www.semanticscholar.org/author/Pabitra-Mitra/1781070,11,116,364,24,32,https://www.scopus.com/authid/detail.uri?authorId=55908525400,https://scholar.google.com/citations?user=5bXSZPYAAAAJ&hl=en,IIT Kharagpur,Kharagpur,6724,2827,Machine Learning Pattern Recognition Data Mining information retrieval
Subhasis Chaudhuri,200,207,https://www.semanticscholar.org/author/Subhasis-Chaudhuri/39593068,31,228,4276,25,42,https://www.scopus.com/authid/detail.uri?authorId=7402977965,https://scholar.google.com/citations?user=84VkdegAAAAJ&hl=en,IIT Bombay,Mumbai,7731,2906,Computer Vision Image Processing Computer Science Electrical Engineering haptics
Praneeth Netrapalli,200,242,https://www.semanticscholar.org/author/Praneeth-Netrapalli/1751626,10,23,681,20,20,https://www.scopus.com/authid/detail.uri?authorId=37013799100,https://scholar.google.com/citations?user=mim8FQkAAAAJ&hl=en,Microsoft,Bengaluru,2178,2109,Machine Learning
Parag Singla,197,194,https://www.semanticscholar.org/author/Parag-Singla/35108153,13,46,1059,16,19,https://www.scopus.com/authid/detail.uri?authorId=10244352500,https://scholar.google.com/citations?user=V49BsgMAAAAJ&hl=en,IIT Delhi,New Delhi,2701,1250,Statistical Relational Learning Machine Learning
Pushpak Bhattacharyya,187,188,https://www.semanticscholar.org/author/Pushpak-Bhattacharyya/1697471,14,173,697,25,33,https://www.scopus.com/authid/detail.uri?authorId=7101803108,https://scholar.google.com/citations?user=vvg-pAkAAAAJ&hl=en,IIT Bombay,Mumbai,4926,2967,Natural Language Processing Machine Learning Machine Translation Cross Lingual IRWord Sense Disambiguation
Vineet Chaoji,184,180,https://www.semanticscholar.org/author/Vineet-Chaoji/2603519,14,20,664,15,19,https://www.scopus.com/authid/detail.uri?authorId=24179132200,https://scholar.google.com/citations?user=sXPYZ-IAAAAJ&hl=en,Amazon,Bengaluru,2044,1219,Data Mining Machine Learning
Ashwin Srinivasan,180,192,https://www.semanticscholar.org/author/Ashwin-Srinivasan/34340386,23,91,1705,16,41,https://www.scopus.com/authid/detail.uri?authorId=7202314451,https://scholar.google.co.in/citations?hl=en&user=zpNTeogAAAAJ&view_op=list_works,BITS Pilani,Goa,5441,1058,Inductive Logic Programming Machine Learning Systems Biology Neuro-Symbolic Models
Dipti Misra Sharma,180,180,https://www.semanticscholar.org/author/Dipti-Misra-Sharma/35246152,7,46,167,,,https://www.scopus.com/authid/detail.uri?authorId=27568175600,,IIIT Hyderabad,Hyderabad,,,Machine Translation Linguistics
Sushmita Mitra,179,166,https://www.semanticscholar.org/author/Sushmita-Mitra/40190676,28,113,4764,24,35,https://www.scopus.com/authid/detail.uri?authorId=7403177739,https://scholar.google.com/citations?user=PrUB1fAAAAAJ&hl=en,Indian Statistical Institute,Kolkata,9235,3290,Artificial intelligence Image Processing Pattern Recognition Bioinformatics Computational Intelligence
Anurag Mittal,176,171,https://www.semanticscholar.org/author/Anurag-Mittal/1717115,21,51,2076,20,28,https://www.scopus.com/authid/detail.uri?authorId=7103357341,https://scholar.google.com/citations?user=mB9AZSAAAAAJ&hl=en,IIT Madras,Chennai,4130,1549,Computer Vision Image Processing
Jayavardhana Gubbi,174,196,https://www.semanticscholar.org/author/Jayavardhana-Gubbi/1715321,13,69,4199,15,17,https://www.scopus.com/authid/detail.uri?authorId=23090806600,https://scholar.google.com/citations?hl=en&user=Ec2g4ewAAAAJ&view_op=list_works&sortby=pubdate,TCS,Bengaluru,7469,7086,Computer Vision Pattern Recognition internet of thingsBiomedical engineering
Arijit Biswas,171,165,https://www.semanticscholar.org/author/Arijit-Biswas/47606073,23,65,1980,16,17,https://www.scopus.com/authid/detail.uri?authorId=35554713800,https://scholar.google.com/citations?user=Hu2Ht28AAAAJ&hl=en,Amazon,Bengaluru,2436,1596,Machine Learning Deep Learning Computer Vision Human Computer Interaction Bio-inspired Optimization
Partha Pratim Talukdar,166,167,https://www.semanticscholar.org/author/Partha-Pratim-Talukdar/2408872,20,53,1068,24,29,https://www.scopus.com/authid/detail.uri?authorId=25652280700,https://scholar.google.com/citations?user=CIZwXAcAAAAJ&hl=en,IISc Bangalore,Bengaluru,2721,1961,Machine Learning Natural Language Processing Knowledge Graphs
Piyush Rai,166,159,https://www.semanticscholar.org/author/Piyush-Rai/2866230,11,29,659,16,18,https://www.scopus.com/authid/detail.uri?authorId=36768797700,https://scholar.google.com/citations?user=D50grEgAAAAJ&hl=en,IIT Kanpur,Kanpur,1498,1198,Machine Learning Artificial intelligence
Shalabh Bhatnagar,162,115,https://www.semanticscholar.org/author/Shalabh-Bhatnagar/38716128,18,152,1461,15,25,https://www.scopus.com/authid/detail.uri?authorId=23396008300,https://scholar.google.com/citations?user=cj3fJJsbjAoC&hl=en,IISc Bangalore,Bengaluru,2873,1530,Stochastic systems control simulation optimization
Manish Gupta,158,165,https://www.semanticscholar.org/author/Manish-Gupta/29303295,14,180,732,24,26,https://www.scopus.com/authid/detail.uri?authorId=56637165100,https://scholar.google.com/citations?user=eX9PSu0AAAAJ&hl=en,"Microsoft, IIIT-H, ISB",Hyderabad,2665,2212,Web mining Data Mining Deep Learning
Phalguni Gupta,157,221,https://www.semanticscholar.org/author/Phalguni-Gupta/1713689,21,266,2077,55,83,https://www.scopus.com/authid/detail.uri?authorId=55466500800,https://scholar.google.com/citations?user=syHS0f0AAAAJ,"National Institute Of Technical Teachers Training & Research, Kolkata",Kolkata,44109,21569,Image Processing Biometrics Computer Vision Pattern ClassificationParallel Computing
A. N. Rajagopalan,148,163,https://www.semanticscholar.org/author/A.-N.-Rajagopalan/1689063,21,141,2056,18,27,https://www.scopus.com/authid/detail.uri?authorId=16647440100,https://scholar.google.com/citations?hl=en&user=jXTZEw4AAAAJ&view_op=list_works&sortby=pubdate,IIT Madras,Chennai,3938,1441,Image Processing and Computer Vision
R. Venkatesh Babu,148,148,https://www.semanticscholar.org/author/R.-Venkatesh-Babu/1956214,17,77,906,28,23,https://www.scopus.com/authid/detail.uri?authorId=57202410887,https://scholar.google.com/citations?user=cVg7HrEAAAAJ&hl=en,IISc,Bengaluru,2973,2026,Computer Vision Image Processing Video Analytics Data Compression Machine Learning
Kamalakar Karlapalem,141,208,https://www.semanticscholar.org/author/Kamalakar-Karlapalem/1707849,18,123,1274,16,38,https://www.scopus.com/authid/detail.uri?authorId=55908586300,https://scholar.google.com/citations?user=bEZqpLsAAAAJ&hl=en,IIIT Hyderabad,Hyderabad,4956,1037,Visual Analytics Data Mining Multi-agent Systems Robotics Workflows
Amit Deshpande,140,152,https://www.semanticscholar.org/author/Amit-Deshpande/33341943,9,20,660,10,13,https://www.scopus.com/authid/detail.uri?authorId=8405535500,https://scholar.google.com/citations?hl=en&user=_IZqWbgAAAAJ&view_op=list_works&sortby=pubdate,Microsoft,Bengaluru,1551,972,
Hema A Murthy,134,138,https://www.semanticscholar.org/author/Hema-A.-Murthy/1726726,19,137,1438,21,29,https://www.scopus.com/authid/detail.uri?authorId=57200197348,https://scholar.google.com/citations?user=AQ8w2uEAAAAJ&hl=en,IIT Madras,Chennai,3208,1534,Speech Processing speech synthesis music processing neuronal Signal processing Machine Learning
Bhaskar Dasgupta,134,143,https://www.semanticscholar.org/author/Bhaskar-Dasgupta/46369881,16,55,2118,14,17,https://www.scopus.com/authid/detail.uri?authorId=7101791322,https://scholar.google.com/citations?user=V6ddZSkAAAAJ&hl=en,IIT Kanpur,Kanpur,2988,955,Robotics CAD Optimization Molecular Docking Applied Mathematics
Sri Rama Murty K,129,152,https://www.semanticscholar.org/author/K.-Sri-Rama-Murty/2640929,7,22,658,10,13,https://www.scopus.com/authid/detail.uri?authorId=16744456100,https://scholar.google.com/citations?user=PMHlwxQAAAAJ&hl=en,IIT Hyderabad,Hyderabad,1418,871,Speech Signal processing
Rahul Garg,123,119,https://www.semanticscholar.org/author/Rahul-Garg/9748713,17,53,1093,16,26,https://www.scopus.com/authid/detail.uri?authorId=57191367262,https://scholar.google.com/citations?user=1B4UlwUAAAAJ&hl=en,IIT Delhi,New Delhi,3167,1001,Neuroimaging Machine Learning Big Data Analytics Algorithms
Indrajit Bhattacharya,123,123,https://www.semanticscholar.org/author/Indrajit-Bhattacharya/2173367,13,27,882,13,17,https://www.scopus.com/authid/detail.uri?authorId=14024110800,https://scholar.google.co.in/citations?user=MXUN8qgAAAAJ&hl=en,TCS Innovation Labs,Kolkata,2058,913,Machine Learning Probabilistic Topic Models Bayesian Nonparametrics
Vinayaka Pandit,123,122,https://www.semanticscholar.org/author/Vinayaka-Pandit/2183936,11,39,791,10,17,https://www.scopus.com/authid/detail.uri?authorId=7003581805,https://scholar.google.com/citations?user=W-HhYVkAAAAJ&hl=en,IBM,Bengaluru,2340,841,Algorithms
Sriparna Saha,118,112,https://www.semanticscholar.org/author/Sriparna-Saha/1777669,18,181,1786,20,21,https://www.scopus.com/authid/detail.uri?authorId=17435835500,https://scholar.google.com/citations?user=Fj7jA_AAAAAJ&hl=en,IIT Patna,Patna,2832,1923,Artificial intelligence Clustering Algorithms Natural Language Processing
Sivaji Bandyopadhyay,116,118,https://www.semanticscholar.org/author/Sivaji-Bandyopadhyay/1722399,13,154,756,22,34,https://www.scopus.com/authid/detail.uri?authorId=23092721400,https://scholar.google.com/citations?user=qaIbHNwAAAAJ&hl=en,Jadavpur University,Kolkata,4639,2765,Natural Language Processing Machine Translation information retrieval
Vadlamani Ravi,115,113,https://www.semanticscholar.org/author/Vadlamani-Ravi/2758547,27,143,2922,27,34,https://www.scopus.com/authid/detail.uri?authorId=55128072100,https://scholar.google.com/citations?user=Q_szXyoAAAAJ&hl=en,Institute for Development and Research in Banking Technology,Hyderabad,5163,3082,Predictive Analytics Data Imputation Bankruptcy Prediction Analytical CRM Data/Text/Time Series Data Mining /Soft/Fuzzy/Neuro
K. R. Ramakrishnan,114,97,https://www.semanticscholar.org/author/K.-R.-Ramakrishnan/1697387,13,136,1536,17,28,https://www.scopus.com/authid/detail.uri?authorId=7101600367,https://scholar.google.com/citations?user=x0lDGegAAAAJ&hl=en,IISc Bangalore,Bengaluru,3954,1132,Image Processing Computer Vision MultimediaVideo Analysis
A G Ramakrishnan,108,113,https://www.semanticscholar.org/author/A.-G.-Ramakrishnan/1725009,21,163,1502,19,28,https://www.scopus.com/authid/detail.uri?authorId=7006089567,https://scholar.google.com/citations?user=IPjx_EIAAAAJ&hl=en,IISc Bangalore,Bengaluru,3249,1587,Deep Learning Speech recognition Auditory neuroscienceBCIMachine listening
