Name,Highly_Influential_Citations,Highly_Influential_Citations_Updated,Semantic Scholar URL,hindexscopus2019,Papers_by_author_scopus_2019,Total_citations_scopus_2019,Hindex_2014_google_scholar,Hindex_google_scholar_overall,Scopus_URL,Google_scholar_URL,Affiliation,City,Citations All (Google Scholar),Citations (Since 2014),Expertise
Kishore Reddy Konda,51,58,https://www.semanticscholar.org/author/Kishore-Reddy-Konda/35254095,6,8,307,11,11,https://www.scopus.com/authid/detail.uri?authorId=56736090700,https://scholar.google.com/citations?user=uea6nDkAAAAJ&hl=en,INSOFE,Hyderabad,733,723,Relational feature learning Deep Learning for vision and Natural Language Processing
Jaydip Sen,50,50,https://www.semanticscholar.org/author/Jaydip-Sen/1794227,13,56,1146,18,22,https://www.scopus.com/authid/detail.uri?authorId=35732277300,https://scholar.google.com/citations?user=yMfQ9NoAAAAJ&hl=en,"Praxis Business School, Kolkata",Kolkata,3076,2390,"Network Security, Data Privacy Internet of Things Machine Learning Deep Learning"
Shrisha Rao,50,48,https://www.semanticscholar.org/author/Shrisha-Rao/1833299,11,90,521,15,17,https://www.scopus.com/authid/detail.uri?authorId=23095236900,https://scholar.google.com/citations?user=SxYeZQcAAAAJ&hl=en,IIIT Bangalore,Bengaluru,928,720,Artificial intelligence Cloud ComputingDistributed SystemsEnergy
Pooja Agarwal,50,52,https://www.semanticscholar.org/author/Pooja-Agarwal/5353194,1,2,1,4,6,https://www.scopus.com/authid/detail.uri?authorId=57197345006,https://scholar.google.com/citations?hl=en&user=TE8UmNEAAAAJ&view_op=list_works&sortby=pubdate,PES,Bengaluru,111,61,Machine Learning Data Mining Artificial intelligence
Vineeth N Balasubramanian,49,57,https://www.semanticscholar.org/author/Vineeth-N.-Balasubramanian/1699429,11,65,452,13,16,https://www.scopus.com/authid/detail.uri?authorId=17344969900,https://scholar.google.com/citations?user=7soDcboAAAAJ&hl=en,IIT Hyderabad,Hyderabad,930,577,Deep Learning Machine Learning Computer Vision
Chetan Arora,48,43,https://www.semanticscholar.org/author/Chetan-Arora/1897733,8,31,256,10,12,https://www.scopus.com/authid/detail.uri?authorId=35203020100,https://scholar.google.com/citations?user=Q8cTLNMAAAAJ&hl=en,IIIT Delhi,New Delhi,507,452,Computer Vision Machine Learning
Arnab Sinha,47,45,https://www.semanticscholar.org/author/Arnab-Sinha/39753024,6,10,135,7,8,https://www.scopus.com/authid/detail.uri?authorId=56594178500,https://scholar.google.com/citations?user=0hQGCwEAAAAJ&hl=en,TCS,Kolkata,238,191,Robotic VisionImage Processing Genetic Algorithm
Ullas Nambiar,46,61,https://www.semanticscholar.org/author/Ullas-Nambiar/1984030,11,45,382,12,18,https://www.scopus.com/authid/detail.uri?authorId=6602629302,https://scholar.google.co.in/citations?user=UbJsDGcAAAAJ,Zensar Technologies,Bengaluru,1156,438,AI IOT Robotics
Ashutosh Kumar Singh,46,79,https://www.semanticscholar.org/author/Ashutosh-Kumar-Singh/2177336,9,108,317,11,12,https://www.scopus.com/authid/detail.uri?authorId=56575740400,https://scholar.google.com/citations?hl=en&user=1pBXMOgAAAAJ&view_op=list_works&sortby=pubdate,National Institute of Technology Kurukshetra,Kurukshetra,677,562,Logic DesignArtificial intelligence Big Data and Cloud Computing
Gautam Shroff,45,32,https://www.semanticscholar.org/author/Gautam-Shroff/2393804,7,48,294,15,18,https://www.scopus.com/authid/detail.uri?authorId=6601910743,https://scholar.google.com/citations?user=f70Rc2wAAAAJ&hl=en,TCS,New Delhi,1615,893,Data Analytics BigDataInformation FusionArtificial intelligence Software Engineering
Kaushik Mitra,44,44,https://www.semanticscholar.org/author/Kaushik-Mitra/39487011,10,25,302,11,12,https://www.scopus.com/authid/detail.uri?authorId=26531669600,https://scholar.google.co.in/citations?user=cZBq_9MAAAAJ&hl=en,IIT Madras,Chennai,488,423,Computational Imaging Computer Vision Machine Learning
Sudip Kumar Naskar,42,42,https://www.semanticscholar.org/author/Sudip-Kumar-Naskar/1750647,8,61,244,13,18,https://www.scopus.com/authid/detail.uri?authorId=17435322800,https://scholar.google.com/citations?user=RMJLRiIAAAAJ&hl=en,Jadavpur University,Kolkata,1007,539,Machine Translation Natural Language Processing Computational Linguistics
